incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,characteristics,notes,participant_gender,participant_age_group,role,status,age
2459150,2022-11-13,Virginia,Charlottesville,130 Culbreth St,3,2,0,0,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); School Shooting - university/college; Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location); LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite; Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","active shooter in on-campus garage; shelter in place; at least 3 vics, subject UVa Football players; S&W model 39 pistol, Ruger AR-556 rifle and Glock 45 9mm pistol; jury trial 1/22/25;",male,22,victim,killed,22
2459150,2022-11-13,Virginia,Charlottesville,130 Culbreth St,3,2,0,0,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); School Shooting - university/college; Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location); LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite; Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","active shooter in on-campus garage; shelter in place; at least 3 vics, subject UVa Football players; S&W model 39 pistol, Ruger AR-556 rifle and Glock 45 9mm pistol; jury trial 1/22/25;",male,19,victim,injured,19
2459150,2022-11-13,Virginia,Charlottesville,130 Culbreth St,3,2,0,0,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); School Shooting - university/college; Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location); LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite; Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","active shooter in on-campus garage; shelter in place; at least 3 vics, subject UVa Football players; S&W model 39 pistol, Ruger AR-556 rifle and Glock 45 9mm pistol; jury trial 1/22/25;",female,19,victim,injured,19
2459150,2022-11-13,Virginia,Charlottesville,130 Culbreth St,3,2,0,0,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); School Shooting - university/college; Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location); LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite; Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","active shooter in on-campus garage; shelter in place; at least 3 vics, subject UVa Football players; S&W model 39 pistol, Ruger AR-556 rifle and Glock 45 9mm pistol; jury trial 1/22/25;",male,22,suspect,unharmed,22
2459150,2022-11-13,Virginia,Charlottesville,130 Culbreth St,3,2,0,0,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); School Shooting - university/college; Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location); LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite; Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","active shooter in on-campus garage; shelter in place; at least 3 vics, subject UVa Football players; S&W model 39 pistol, Ruger AR-556 rifle and Glock 45 9mm pistol; jury trial 1/22/25;",male,20,victim,killed,20
2459229,2022-11-12,Virginia,Charlottesville,800 block of Hardy Dr,0,1,0,0,0,Shot - Wounded/Injured,NA,male,Teen 12-17,victim,injured,NA
2445383,2022-10-25,Virginia,Charlottesville,2100 block of Stony Point Rd,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Domestic Violence","Albemarle County, man fatally shot by his long-time girlfriend in domestic disturbance at home, .45 caliber handgun and 9mm SIG P320 pistol",female,38,suspect,unharmed,38
2445383,2022-10-25,Virginia,Charlottesville,2100 block of Stony Point Rd,1,0,0,0,1,"Shot - Dead (murder, accidental, or suicide); Domestic Violence","Albemarle County, man fatally shot by his long-time girlfriend in domestic disturbance at home, .45 caliber handgun and 9mm SIG P320 pistol",male,53,victim,killed,53
2443686,2022-10-23,Virginia,Charlottesville,223 W Main St,1,2,0,0,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); Bar/club incident - in or around establishment","Downtown Mall, man shot after altercation inside restaurant/bar later died, two bystanders also struck by gunfire",male,31,victim,killed,31
2443686,2022-10-23,Virginia,Charlottesville,223 W Main St,1,2,0,0,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); Bar/club incident - in or around establishment","Downtown Mall, man shot after altercation inside restaurant/bar later died, two bystanders also struck by gunfire",female,NA,victim,injured,NA
2443686,2022-10-23,Virginia,Charlottesville,223 W Main St,1,2,0,0,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); Bar/club incident - in or around establishment","Downtown Mall, man shot after altercation inside restaurant/bar later died, two bystanders also struck by gunfire",female,NA,victim,injured,NA
2443686,2022-10-23,Virginia,Charlottesville,223 W Main St,1,2,0,0,1,"Shot - Wounded/Injured; Shot - Dead (murder, accidental, or suicide); Bar/club incident - in or around establishment","Downtown Mall, man shot after altercation inside restaurant/bar later died, two bystanders also struck by gunfire",male,33,suspect,unharmed,33
2438137,2022-10-15,Virginia,Charlottesville,212 Ridge McIntire Rd,0,2,0,0,3,Shot - Wounded/Injured,"near Downtown Mall, teen shot in parking lot, second teen arrived shot at hospital",male,14,victim,injured,14
2438137,2022-10-15,Virginia,Charlottesville,212 Ridge McIntire Rd,0,2,0,0,3,Shot - Wounded/Injured,"near Downtown Mall, teen shot in parking lot, second teen arrived shot at hospital",male,Teen 12-17,victim,injured,NA
2438137,2022-10-15,Virginia,Charlottesville,212 Ridge McIntire Rd,0,2,0,0,3,Shot - Wounded/Injured,"near Downtown Mall, teen shot in parking lot, second teen arrived shot at hospital",male,14,suspect,unharmed,14
2438137,2022-10-15,Virginia,Charlottesville,212 Ridge McIntire Rd,0,2,0,0,3,Shot - Wounded/Injured,"near Downtown Mall, teen shot in parking lot, second teen arrived shot at hospital",male,17,suspect,unharmed,17
2438137,2022-10-15,Virginia,Charlottesville,212 Ridge McIntire Rd,0,2,0,0,3,Shot - Wounded/Injured,"near Downtown Mall, teen shot in parking lot, second teen arrived shot at hospital",male,Teen 12-17,suspect,unharmed,NA
2426915,2022-09-28,Virginia,Charlottesville,900 block of Anderson St,0,2,0,0,1,"Shot - Wounded/Injured; Drive-by (car to street, car to car)","at 9th St, two men shot in car from another car",male,21,suspect,unharmed,21
2426915,2022-09-28,Virginia,Charlottesville,900 block of Anderson St,0,2,0,0,1,"Shot - Wounded/Injured; Drive-by (car to street, car to car)","at 9th St, two men shot in car from another car",male,Adult 18+,victim,injured,NA
2426915,2022-09-28,Virginia,Charlottesville,900 block of Anderson St,0,2,0,0,1,"Shot - Wounded/Injured; Drive-by (car to street, car to car)","at 9th St, two men shot in car from another car",male,Adult 18+,victim,injured,NA
2423407,2022-09-24,Virginia,Charlottesville,1610 Rio Hill Dr,1,0,0,0,0,"Shot - Dead (murder, accidental, or suicide); Domestic Violence",NA,NA,NA,victim,killed,NA
2421698,2022-09-22,Virginia,Charlottesville,816 Mallside Forest Ct,0,3,0,0,0,Shot - Wounded/Injured,"Albemarle County, three shot at apartment complex",NA,NA,victim,injured,NA
2421698,2022-09-22,Virginia,Charlottesville,816 Mallside Forest Ct,0,3,0,0,0,Shot - Wounded/Injured,"Albemarle County, three shot at apartment complex",NA,NA,victim,injured,NA
2421698,2022-09-22,Virginia,Charlottesville,816 Mallside Forest Ct,0,3,0,0,0,Shot - Wounded/Injured,"Albemarle County, three shot at apartment complex",NA,NA,victim,injured,NA
2418885,2022-09-17,Virginia,Charlottesville,208 3rd St NE,1,0,0,0,0,"Shot - Dead (murder, accidental, or suicide)","downtown near Market Street Park, man shot near shop later died",male,29,victim,killed,29
2416645,2022-09-15,Virginia,Charlottesville,Elliott Ave and 6th St SE,0,0,1,0,0,"Shot - Dead (murder, accidental, or suicide); Suicide; Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff","near downtown, wanted man turned his gun on himself after he fled officers, multiple vehicle collisions",male,43,victim,killed,43
2415081,2022-09-14,Virginia,Charlottesville,Cedar Hill Rd and N Berkshire Rd,0,1,0,0,0,Shot - Wounded/Injured,"Albemarle County, one shot",NA,NA,victim,injured,NA
2402122,2022-08-29,Virginia,Charlottesville,Fontaine Ave Ext and US-250,0,0,1,0,0,"Shot - Dead (murder, accidental, or suicide); Officer Involved Shooting - subject/suspect/perpetrator killed; Possession of gun by felon or prohibited person","Albemarle County, wanted fugitive fatally shot when US Marshals task force returned his fire from inside pickup after he fled traffic stop and crashed on ramp to US-250 Bypass",male,60,victim,killed,60
2392369,2022-08-19,Virginia,Charlottesville,400 block of Burgoyne Rd,0,1,0,0,0,Shot - Wounded/Injured,"Albemarle County, one shot",NA,NA,victim,injured,NA
2381495,2022-08-07,Virginia,Charlottesville,400 block of 5th St SW,0,1,0,0,0,Shot - Wounded/Injured,at Cherry Ave near Tonsler Park; man shot,male,32,victim,injured,32
2370489,2022-07-24,Virginia,Charlottesville,100 block of Stewart Cir,0,1,0,0,1,Shot - Wounded/Injured,one shot,male,18,suspect,unharmed,18
2370489,2022-07-24,Virginia,Charlottesville,100 block of Stewart Cir,0,1,0,0,1,Shot - Wounded/Injured,one shot,NA,NA,victim,injured,NA
2308187,2022-05-21,Virginia,Charlottesville,2300 block of Thomas Jefferson Pkwy,0,1,0,0,1,Shot - Wounded/Injured,"Albemarle County VA-53, one shot at home",male,23,suspect,unharmed,23
2308187,2022-05-21,Virginia,Charlottesville,2300 block of Thomas Jefferson Pkwy,0,1,0,0,1,Shot - Wounded/Injured,"Albemarle County VA-53, one shot at home",N/A,NA,victim,injured,NA
2266000,2022-03-29,Virginia,Charlottesville,800 block of Anderson St,0,1,0,0,0,Shot - Wounded/Injured,man shot at home,male,42,victim,injured,42
2258404,2022-03-20,Virginia,Charlottesville,2512 Jefferson Park Ave,0,2,0,0,2,"Shot - Wounded/Injured; Possession of gun by felon or prohibited person; Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","100+ shots fired during a Peace in the Streets event, multiple shooters incl machine gun. TS-n/a early Sunday",male,Adult 18+,vicitm,injured,NA
2258404,2022-03-20,Virginia,Charlottesville,2512 Jefferson Park Ave,0,2,0,0,2,"Shot - Wounded/Injured; Possession of gun by felon or prohibited person; Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","100+ shots fired during a Peace in the Streets event, multiple shooters incl machine gun. TS-n/a early Sunday",male,Adult 18+,victim,injured,NA
2258404,2022-03-20,Virginia,Charlottesville,2512 Jefferson Park Ave,0,2,0,0,2,"Shot - Wounded/Injured; Possession of gun by felon or prohibited person; Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","100+ shots fired during a Peace in the Streets event, multiple shooters incl machine gun. TS-n/a early Sunday",male,23,suspect,unharmed,23
2258404,2022-03-20,Virginia,Charlottesville,2512 Jefferson Park Ave,0,2,0,0,2,"Shot - Wounded/Injured; Possession of gun by felon or prohibited person; Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","100+ shots fired during a Peace in the Streets event, multiple shooters incl machine gun. TS-n/a early Sunday",male,25,suspect,unharmed,25
2212250,2022-01-14,Virginia,Charlottesville,900 block of 1st St S,0,1,0,0,0,Shot - Wounded/Injured; Child Involved Incident; Child injured (not child shooter),child shot; mother charged with neglect,NA,2,victim,injured,2
2119215,2021-09-18,Virginia,Charlottesville,313 2nd Street SE,0,2,0,0,1,Shot - Wounded/Injured,two shot in parking lot near Water Street Parking Garage,male,20,suspect,unharmed,20
2119215,2021-09-18,Virginia,Charlottesville,313 2nd Street SE,0,2,0,0,1,Shot - Wounded/Injured,two shot in parking lot near Water Street Parking Garage,NA,NA,victim,injured,NA
2119215,2021-09-18,Virginia,Charlottesville,313 2nd Street SE,0,2,0,0,1,Shot - Wounded/Injured,two shot in parking lot near Water Street Parking Garage,NA,NA,victim,injured,NA
2113727,2021-09-04,Virginia,Charlottesville,102 14th St NW,0,1,0,0,1,Shot - Wounded/Injured; Accidental Shooting - Injury; Accidental Shooting at a Business; Accidental/Negligent Discharge; Bar/club incident - in or around establishment,AD fired through bathroom in bar,N/A,Adult 18+,victim,injured,NA
2113727,2021-09-04,Virginia,Charlottesville,102 14th St NW,0,1,0,0,1,Shot - Wounded/Injured; Accidental Shooting - Injury; Accidental Shooting at a Business; Accidental/Negligent Discharge; Bar/club incident - in or around establishment,AD fired through bathroom in bar,male,22,suspect,unharmed,22
2104329,2021-08-30,Virginia,Charlottesville,King St and Paton St,0,0,0,0,0,Shots Fired - No Injuries,shots fired shut down street,NA,NA,suspect,unharmed,NA
2095296,2021-08-19,Virginia,Charlottesville,520 2nd St SE,0,0,0,0,0,Shots Fired - No Injuries; Bar/club incident - in or around establishment,"at Monticello Ave near Friendship Court, shots fired across street from brewery, three cars struck",NA,NA,suspect,unharmed,NA
2077755,2021-07-28,Virginia,Charlottesville,2407 Peyton Dr,0,0,0,0,0,Shots Fired - No Injuries,"Albemarle County, shots fired led to recovery of stolen vehicle",NA,NA,suspect,unharmed,NA
2046681,2021-06-27,Virginia,Charlottesville,300 block of Riverside Ave,0,0,0,0,0,Shots Fired - No Injuries,"shots fired at driver of parked vehicle, tried to get away and hit another car causing it to overturn",NA,NA,suspect,unharmed,NA
2047706,2021-06-25,Virginia,Charlottesville,801 Hardy Dr,0,0,0,0,0,Shots Fired - No Injuries,shots fired struck two apartments and multiple parked vehicles; also home at The Standard apartments at 853 W Main St struck by gunfire,NA,NA,suspect,unharmed,NA
2018737,2021-05-28,Virginia,Charlottesville,Elliewood Ave,0,0,0,0,1,Shots Fired - No Injuries,"Albemarle County, heavy gunfire, fully automatic weapon",male,28,suspect,unharmed,28
2005161,2021-05-15,Virginia,Charlottesville,2334 Peyton Dr,0,1,0,0,0,Shot - Wounded/Injured,"Albemarle County, man shot in neighborhood behind Costco",male,Adult 18+,victim,injured,NA
